year;model_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;Agora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit;;;01.01.2023;;;ohne Aufteilung nach Diesel und hev;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kg];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;;;;;;;;;;;;;
Quelle;;;FZ27.11,KBA;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;agora ;agora ;;;;;;;;;;;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;Zahl mit 0,68 multipliziert;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;former_emission_targets_germany_2030;former_emission_targets_germany_2030_fleet;new_emission_targets_germany_2030;new_emission_targets_germany_2030_fleet;emission_target_2025;emission_target_2030;emission_target_2035;emission_target_2040;emission_target_2045;emission_target_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45;;;;;;;
icev;Mini;Fiat500;72188,84013;0,067005557;0,00223316;0,07218884;1000000;1177;1102;0;1102;23,625;1078,375;13000;gasoline;4,8;0;5,8;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
icev;Kleinwagen;Mini;191290,2875;0,177555315;0,00591756;0,191290287;1000000;1278;1203;0;1203;27;1176;13000;gasoline;5,6;0;6;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
icev;Kompaktklasse;Golf;271546,5066;0,234109343;0,008400284;0,271546507;1000000;1528;1453;0;1453;37,125;1415,875;13000;gasoline;4,7;0;6,1;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
icev;Mittelklasse;C-Klasse;123968,1896;0,11506706;0,010066487;0,12396819;1000000;1758;1683;0;1683;27;1656;13000;diesel;5,5;0;7,5;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
icev;obereMittelklasse;A6;35981,77333;0,03339822;0,001113095;0,035981773;1000000;1972;1897;0;1897;43,875;1853,125;13000;gasoline;7,4;0;8,3;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
icev;Oberklasse;A8;5162,940858;0,004792233;0,000159715;0,005162941;1000000;2238;2163;0;2163;48,6;2114,4;13000;gasoline;9,5;0;10,5;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
icev;SUV;X1;103689,5757;0,132172697;0,003207634;0,103689576;1000000;1698;1623;0;1623;34,425;1588,575;13000;gasoline;5,1;0;6,1;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;90440000000;60520000000;27200000000;7480000000;0;0;5,78E+10;2,04E+10;0;;;;;;;
