year;model_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;Agora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit;;;01.01.2023;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;REDII;REDII;;REDII;REDII;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;agora ;;;;;;;;;
description;;;;; ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora*0,68;agora*0,68;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;shareontotalvehicles;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_2025;emission_target_2035;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;;
icev;Mini;Fiat500;99866,25293;0,067005557;0,099866253;1000000;1177;1102;0;1102;23,625;1078,375;12500;gasoline;4,8;0;5,8;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;1362,936;136111311,3
icev;Kleinwagen;Mini;264631,5441;0,177555315;0,264631544;1000000;1278;1203;0;1203;27;1176;12500;gasoline;5,6;0;6;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;1590,092;420788501,2
icev;Kompaktklasse;Golf;348920,655;0,234109343;0,348920655;1000000;1528;1453;0;1453;37,125;1415,875;12500;gasoline;4,7;0;6,1;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;1334,5415;465649094,3
icev;Mittelklasse;C-Klasse;0;0,11506706;0,447304763;0;1758;1683;0;1683;27;1656;12500;diesel;5,5;0;7,5;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1705;0
icev;obereMittelklasse;A6;49777,29063;0,03339822;0,049777291;1000000;1972;1897;0;1897;43,875;1853,125;12500;gasoline;7,4;0;8,3;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2101,193;104591694,6
icev;Oberklasse;A8;7142,427508;0,004792233;0,007142428;1000000;2238;2163;0;2163;48,6;2114,4;12500;gasoline;9,5;0;10,5;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2697,4775;19266537,5
icev;SUV;X1;143444,4628;0,132172697;0,143444463;1000000;1698;1623;0;1623;34,425;1588,575;12500;gasoline;5,1;0;6,1;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1448,1195;207724723,7
