year;model_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;Hochlauf BEV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;ADAC;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora;agora;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;ttw nutzung;ttw alle segmente
ICEV;mini;Fiat500;2291031,009;0,099866253;22940993;1177;1102;0;1102;23,625;1078,375;12545;gasoline;4,8;0;5,8;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1367,84257;3133769743
ICEV;smallcar;Mini;6070910,4;0,264631544;22940993;1278;1203;0;1203;27;1176;12545;gasoline;5,6;0;6;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1595,816331;9688057962
ICEV;compact car;Golf;8004586,304;0,348920655;22940993;1528;1453;0;1453;37,125;1415,875;12545;gasoline;4,7;0;6,1;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1339,345849;10720909443
ICEV;mid-range vehicle;C-Klasse;5178249,087;0,447304763;11576557;1758;1683;0;1683;27;1656;12545;diesel;5,5;0;7,5;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1711,138;8860698785
ICEV;upper mid range vehicle ;A6;1141940,476;0,049777291;22940993;1972;1897;0;1897;43,875;1853,125;12545;gasoline;7,4;0;8,3;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;2108,757295;2408075309
ICEV;top range vehicle;A8;163854,3795;0,007142428;22940993;2238;2163;0;2163;48,6;2114,4;12545;gasoline;9,5;0;10,5;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;2707,188419;443584678,5
ICEV;SUV;X1;3290758,417;0,143444463;22940993;1698;1623;0;1623;34,425;1588,575;12545;gasoline;5,1;0;6,1;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1453,33273;4782566914
ICEV;off-road;Tiguan;2532726,704;0,218780653;11576557;1677;1602;0;1602;41,085;1560,915;12545;diesel;5,3;0;7;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;1648,9148;4176250546
ICEV;sportcar;911;666230,0867;0,029041031;22940993;1683;1608;0;1608;43,2;1564,8;12545;gasoline;8,4;0;9,5;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;2393,724497;1594771279
