unit ;;;01.01.2023;[%];[kg];[kg];[kg];[km];;[l/100km] ;[kWh/100km];[l/100km] / [kWh/100km];;[kg co2e/kg Fhz];[kg co2e/kg Fhz];[kg co2e/kg Fhz];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kW];[kg co2e/kW];[kg co2e/kW];[kg co2e/kg];;;;;;;;;;;;[km];[km];[kWh];[kWh];[kW];[kW];[kW];[kg];[kg];;
Quelle ;;;FZ 27.11, KBA;;ADAC ;;;KBA;;ADAC;ADAC;ADAC;;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;UBA, Aut ;;;;;;;;;;;;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;UBA, Aut;UBA, Aut;;
description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicle class ;segments;used model ;vehicle stock ;share on total vehicles ;average vehicle weight ;battery weight ;vehicle weight w/o battery;mileage ;energy supply;consumption manufacturer;consumption manufacturer;real consumption;consumption AdBlue ;co2e production best case;co2e production per kg ;co2e production worst case;co2e battery production best case ;co2e battery production ;co2e battery production worst case;co2e electric engine best case ;co2e electric engine ;co2e electric engine worst case;co2e drivechain ;co2e gasoline TtW;co2e gasoline WtW;co2e diesel TtW;co2e diesel WtW;co2e hvo TtW;co2e hvo WtW;co2e ptl TtW;co2e ptl WtW;co2 bioliq TtW;co2 bioliq WtW;co2e electricity ;range wltp ;range wltp city ;battery capacity brutto ;battery capacity netto ;power cumbustion engine;power electric engine;power electric engine 2;weight electric engine ;weight electric drivechain ;co2e savings battery ;emission targets germany 
icev ;Mini ;Fiat 500; 3.116.418 ;; 1.177 ;;; 13.739 ; gasoline  ;4,8;;5,8;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;Kleinwagen ;Mini; 8.258.070 ;; 1.278 ;;; 13.739 ; gasoline  ;5,6;;6;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;Kompaktklasse ;Golf ; 10.888.389 ;; 1.528 ;;; 13.739 ; gasoline  ;4,7;;6,1;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;Mittelklasse ;C-Klasse; 5.351.751 ;; 1.758 ;;; 13.739 ; diesel  ;5,5;;7,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;obere Mittelklasse ;A6; 1.553.346 ;; 1.972 ;;; 13.739 ; gasoline  ;7,4;;8,3;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;Oberklasse ;A8; 222.886 ;; 2.238 ;;; 13.739 ; gasoline  ;9,5;;10,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;SUV;X1; 4.476.316 ;; 1.698 ;;; 13.739 ; gasoline  ;5,1;;6,1;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;Gel‰ndewagen ;Tiguan ; 2.617.588 ;; 2.005 ;;; 13.739 ; diesel ;6,6;;7;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;Sportwagen ;911; 906.252 ;; 1.683 ;;; 13.739 ; gasoline  ;8,4;;9,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev ;Mini Van ;B-Klasse; 1.784.240 ;; 1.651 ;;; 13.739 ; gasoline  ;5,6;;5,8;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
