unit;;;01.01.2023;[%];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];;[kgco2e/kgFhz];[kgco2e/kgFhz];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kWh];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];;;;;;;;;;;;[km];[km];[kWh];[kWh];[kW];[kW];[kW];[kg];[kg];;
Quelle;;;FZ27.11,KBA;;ADAC;;;KBA;;ADAC;ADAC;ADAC;;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;;;;;;;;;;;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;
description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicleclass;segments;usedmodel;vehiclestock;shareontotalvehicles;averagevehicleweight;batteryweight;vehicleweightw/obattery;mileage;energysupply;consumptionmanufacturer_l;consumptionmanufacturer_kWh;realconsumption;consumptionAdBlue;co2eproductionbestcase;co2eproductionperkg;co2eproductionworstcase;co2ebatteryproductionbestcase;co2ebatteryproduction;co2ebatteryproductionworstcase;co2eelectricenginebestcase;co2eelectricengine;co2eelectricengineworstcase;co2edrivechain;co2egasolineTtW;co2egasolineWtW;co2edieselTtW;co2edieselWtW;co2ehvoTtW;co2ehvoWtW;co2eptlTtW;co2eptlWtW;co2bioliqTtW;co2bioliqWtW;co2eelectricity;rangewltp;rangewltpcity;batterycapacitybrutto;batterycapacitynetto;powercumbustionengine;powerelectricengine;powerelectricengine2;weightelectricengine;weightelectricdrivechain;co2esavingsbattery;emissiontargetsgermany
icev;Mini;Fiat500;3.116.418;;1.177;;;13.739;gasoline;4,8;;5,8;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Kleinwagen;Mini;8.258.070;;1.278;;;13.739;gasoline;5,6;;6;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Kompaktklasse;Golf;10.888.389;;1.528;;;13.739;gasoline;4,7;;6,1;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Mittelklasse;C-Klasse;5.351.751;;1.758;;;13.739;diesel;5,5;;7,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;obereMittelklasse;A6;1.553.346;;1.972;;;13.739;gasoline;7,4;;8,3;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Oberklasse;A8;222.886;;2.238;;;13.739;gasoline;9,5;;10,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;SUV;X1;4.476.316;;1.698;;;13.739;gasoline;5,1;;6,1;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Gel‰ndewagen;Tiguan;2.617.588;;2.005;;;13.739;diesel;6,6;;7;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Sportwagen;911;906.252;;1.683;;;13.739;gasoline;8,4;;9,5;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;MiniVan;B-Klasse;1.784.240;;1.651;;;13.739;gasoline;5,6;;5,8;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;GroﬂraumVans;Touran;2.033.279;;1.847;;;13.739;diesel;4,5;;7,1;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
icev;Utilities;Transporter;835.505;;2.062;;;13.739;diesel;7;;;;;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
