unit;;;01.01.2023;[%];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kg/km];[kgco2e/kgFhz];[kgco2e/kgFhz];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kWh];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[g co2e/MJ];;;;;;[km];[km];[kWh];[kWh];[kW];[kW];[kW];[kg];[kg];;
Quelle;;;FZ27.11,KBA;;ADAC;;;KBA;;ADAC;ADAC;ADAC;;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;DIN ;DIN ;;BA IFKM ;;;;;;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;
description;;;;;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;average_vehicle_weight;battery_weight;vehicleweight_w/o_battery;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;consumption_AdBlue;co2e_production_bestcase;co2e_production;co2e_production_worstcase;co2e_battery_production_bestcase;co2e_battery_production;co2e_battery_production_worstcase;co2e_electric_engine_bestcase;co2eelectricengine;co2eelectricengineworstcase;co2edrivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;co2e_hvo_TtW;co2e_hvo_WtW;co2e_ptl_TtW;co2e_ptl_WtW;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity;rangewltp;rangewltpcity;batterycapacitybrutto;batterycapacitynetto;powercumbustionengine;powerelectricengine;powerelectricengine2;weightelectricengine;weightelectricdrivechain;co2esavingsbattery;emissiontargetsgermany
icev;Mini;Fiat500;3116418;;1177;;;13739;gasoline;4,8;0;5,8;;;7,2;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;51,31;;;;;;;;;;;;;;;;
icev;Kleinwagen;Mini;8258070;;1278;;;13739;gasoline;5,6;0;6;;;7,2;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
icev;Kompaktklasse;Golf;10888389;;1528;;;13739;gasoline;4,7;0;6,1;;;7,2;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
icev;Mittelklasse;C-Klasse;5351751;;1758;;;13739;diesel;5,5;0;7,5;;;7,2;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
icev;obereMittelklasse;A6;1553346;;1972;;;13739;gasoline;7,4;0;8,3;;;7,2;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
icev;Oberklasse;A8;222886;;2238;;;13739;gasoline;9,5;0;10,5;;;7,2;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
icev;SUV;X1;4476316;;1698;;;13739;gasoline;5,1;0;6,1;;;7,2;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
