unit;;;01.01.2023;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;;;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];;[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;
Quelle;;;FZ27.11,KBA; 1 ;1;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;;;;
description;;;;;   ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;new_emission_targets_germany_2030_fleet;co2e_2025;co2e_2030;co2e_2035;emission_target_2040;co2e_2045;co2e_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45
icev;Mini;Fiat500;3116418;0,07218884;0,099866253;31205917;1177;1102;0;1102;23,625;1078,375;13739;gasoline;4,8;0;5,8;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Kleinwagen;vw polo;8258070;0,191290287;0,264631544;31205917;1145;1070;0;1070;27;1043;13739;gasoline;4,4;0;5,4;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Kompaktklasse;Golf;10888389;0,271546507;0,348920655;31205917;1528;1453;0;1453;37,125;1415,875;13739;gasoline;4,7;0;6,1;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Mittelklasse;C-Klasse;5351751;0,12396819;0,447304763;11964440;1758;1683;0;1683;27;1656;13739;diesel;5,5;0;7,5;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;obereMittelklasse;A6;1553346;0,035981773;0,049777291;31205917;1972;1897;0;1897;43,875;1853,125;13739;gasoline;7,4;0;8,3;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Oberklasse;S-Klasse;222886;0,005162941;0,007142428;31205917;2080;2005;0;2005;43,83;1961,17;13739;gasoline;8,1;0;8,7;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;SUV;X1, ford kuga ;4476316;0,103689576;0,143444463;31205917;1698;1623;0;1623;34,425;1588,575;13739;gasoline;6,8;0;6,1;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Gel‰ndewagen;Tiguan;2617588;0,060633921;0,218780653;11964440;2005;1930;0;1930;39,15;1890,85;13739;diesel;5,2;0;6,4;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;Sportwagen;911;906252;0,02099246;0,029041031;31205917;1683;1608;0;1608;43,2;1564,8;13739;gasoline;8,4;0;9,5;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
icev;MiniVan;B-Klasse;1784240;0,044497321;0,057176336;31205917;1651;1576;0;1576;33,75;1542,25;13739;gasoline;5,6;0;5,8;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
