segments;vehicle stock 2022;share [%];average vehicle weight 2022;mileage year 2022;gasoline consumption manufacturer;diesel consumption manufacturer;fuel consumption ADAC
Wohnmobil;767325;1,6;2966;13739;;7,5;
Utilities;2056919;4,2;2062;13739;;7;
Groﬂraum-Vans;1922915;6;1847;13739;;4,5;7,1
Mini-Vans;1885902;4;1651;13739;5,6;;5,8
Sportwagen;930556;3,9;1683;13739;8,4;;9,5
Gel‰ndewagen;2913602;9,9;2005;13739;;6,6;7
SUV;4822637;1,9;1698;13739;5,1;;6,1
Oberklasse;281275;0,6;2238;13739;9,5;;10,5
obere Mittelklasse;1853273;3,8;1972;13739;7,4;;8,3
Mittelklasse;5988905;12,3;1758;13739;;5,5;7,5
Kompaktklasse;11743487;24,2;1528;13739;4,7;;6,1
Kleinwagen;8842810;18,2;1278;13739;5,6;;6
Mini;3370439;6,9;1177;13739;4,8;;5,8
