used model ,vehicle stock ,share on total vehicles ,average vehicle weight ,battery weight ,vehicle weight w/o battery,mileage ,energy supply,consumption manufacturer,consumption manufacturer.1,real consumption,consumption AdBlue ,co2e production best case,co2e production per kg ,co2e production worst case,co2e battery production best case ,co2e battery production ,co2e battery production worst case,co2e electric engine best case ,co2e electric engine ,co2e electric engine worst case,co2e drivechain ,co2e gasoline TtW,co2e gasoline WtW,co2e diesel TtW,co2e diesel WtW,co2e hvo TtW,co2e hvo WtW,co2e ptl TtW,co2e ptl WtW,co2 bioliq TtW,co2 bioliq WtW,co2e electricity ,range wltp ,range wltp city ,battery capacity brutto ,battery capacity netto ,power cumbustion engine,power electric engine,power electric engine 2,weight electric engine ,weight electric drivechain ,co2e savings battery ,emission targets germany 
Fiat 500,3.116.418 ,,1177.0,,,13739.0,gasoline  ,4.8,,5.8,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini,8.258.070 ,,1278.0,,,13739.0,gasoline  ,5.6,,6.0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golf ,10.888.389 ,,1528.0,,,13739.0,gasoline  ,4.7,,6.1,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-Klasse,5.351.751 ,,1758.0,,,13739.0,diesel  ,5.5,,7.5,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,1.553.346 ,,1972.0,,,13739.0,gasoline  ,7.4,,8.3,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,222.886 ,,2238.0,,,13739.0,gasoline  ,9.5,,10.5,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X1,4.476.316 ,,1698.0,,,13739.0,gasoline  ,5.1,,6.1,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiguan ,2.617.588 ,,2005.0,,,13739.0,diesel ,6.6,,7.0,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,906.252 ,,1683.0,,,13739.0,gasoline  ,8.4,,9.5,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-Klasse,1.784.240 ,,1651.0,,,13739.0,gasoline  ,5.6,,5.8,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touran ,2.033.279 ,,1847.0,,,13739.0,diesel  ,4.5,,7.1,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transporter ,835.505 ,,2062.0,,,13739.0,diesel  ,7.0,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiat Ducato,1.126.317 ,,2966.0,,,13739.0,diesel  ,7.5,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43.756 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,237.345 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,255.200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,236.830 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150.573 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.436 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,301.941 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,190.283 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.419 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
